[DEBUG] [2023-08-22 18:38:20] CryptoMaterialConfig.<init>(137) | Load cryptoMaterial, caCertPath: /home/jojo/Documents/Code/Java/fiscoAPP/build/resources/test/conf/ca.crt, sdkCertPath: /home/jojo/Documents/Code/Java/fiscoAPP/build/resources/test/conf/sdk.crt, sdkPrivateKeyPath:/home/jojo/Documents/Code/Java/fiscoAPP/build/resources/test/conf/sdk.key, enSSLCertPath: null, enSSLPrivateKeyPath:null
[DEBUG] [2023-08-22 18:38:21] InternalLoggerFactory.useSlf4JLoggerFactory(63) | Using SLF4J as the default logging framework
[DEBUG] [2023-08-22 18:38:21] NetUtil.<clinit>(136) | -Djava.net.preferIPv4Stack: false
[DEBUG] [2023-08-22 18:38:21] NetUtil.<clinit>(137) | -Djava.net.preferIPv6Addresses: false
[DEBUG] [2023-08-22 18:38:21] NetUtilInitializations.determineLoopback(129) | Loopback interface: lo (lo, 0:0:0:0:0:0:0:1%lo)
[DEBUG] [2023-08-22 18:38:21] PlatformDependent0.explicitNoUnsafeCause0(495) | -Dio.netty.noUnsafe: false
[DEBUG] [2023-08-22 18:38:21] PlatformDependent0.javaVersion0(998) | Java version: 11
[DEBUG] [2023-08-22 18:38:21] PlatformDependent0.<clinit>(136) | sun.misc.Unsafe.theUnsafe: available
[DEBUG] [2023-08-22 18:38:21] PlatformDependent0.<clinit>(160) | sun.misc.Unsafe.copyMemory: available
[DEBUG] [2023-08-22 18:38:21] PlatformDependent0.<clinit>(192) | sun.misc.Unsafe.storeFence: available
[DEBUG] [2023-08-22 18:38:21] PlatformDependent0.<clinit>(235) | java.nio.Buffer.address: available
[DEBUG] [2023-08-22 18:38:21] PlatformDependent0.<clinit>(319) | direct buffer constructor: unavailable: Reflective setAccessible(true) disabled
[DEBUG] [2023-08-22 18:38:21] PlatformDependent0.<clinit>(384) | java.nio.Bits.unaligned: available, true
[DEBUG] [2023-08-22 18:38:21] PlatformDependent0.<clinit>(451) | jdk.internal.misc.Unsafe.allocateUninitializedArray(int): unavailable: class io.netty.util.internal.PlatformDependent0$7 cannot access class jdk.internal.misc.Unsafe (in module java.base) because module java.base does not export jdk.internal.misc to unnamed module @7331196b
[DEBUG] [2023-08-22 18:38:21] PlatformDependent0.<clinit>(481) | java.nio.DirectByteBuffer.<init>(long, int): unavailable
[DEBUG] [2023-08-22 18:38:21] PlatformDependent.unsafeUnavailabilityCause0(1120) | sun.misc.Unsafe: available
[DEBUG] [2023-08-22 18:38:21] PlatformDependent.estimateMaxDirectMemory(1231) | maxDirectMemory: 536870912 bytes (maybe)
[DEBUG] [2023-08-22 18:38:21] PlatformDependent.tmpdir0(1250) | -Dio.netty.tmpdir: /tmp (java.io.tmpdir)
[DEBUG] [2023-08-22 18:38:21] PlatformDependent.bitMode0(1329) | -Dio.netty.bitMode: 64 (sun.arch.data.model)
[DEBUG] [2023-08-22 18:38:21] PlatformDependent.<clinit>(178) | -Dio.netty.maxDirectMemory: -1 bytes
[DEBUG] [2023-08-22 18:38:21] PlatformDependent.<clinit>(185) | -Dio.netty.uninitializedArrayAllocationThreshold: -1
[DEBUG] [2023-08-22 18:38:21] CleanerJava9.<clinit>(71) | java.nio.ByteBuffer.cleaner(): available
[DEBUG] [2023-08-22 18:38:21] PlatformDependent.<clinit>(205) | -Dio.netty.noPreferDirect: false
[DEBUG] [2023-08-22 18:38:21] NetUtil$SoMaxConnAction.run(173) | /proc/sys/net/core/somaxconn: 4096
[DEBUG] [2023-08-22 18:38:21] ThreadPoolConfig.<init>(54) | Init ThreadPoolConfig, channelProcessorThreadSize: 16, receiptProcessorThreadSize: 16, maxBlockingQueueSize: 102400
[INFO] [2023-08-22 18:38:21] BcosSDK.build(58) | create BcosSDK, configPath: /home/jojo/Documents/Code/Java/fiscoAPP/build/resources/test/config-example.toml
[DEBUG] [2023-08-22 18:38:21] ResourceLeakDetector.<clinit>(129) | -Dio.netty.leakDetection.level: simple
[DEBUG] [2023-08-22 18:38:21] ResourceLeakDetector.<clinit>(130) | -Dio.netty.leakDetection.targetRecords: 4
[DEBUG] [2023-08-22 18:38:21] ResourceLeakDetectorFactory$DefaultResourceLeakDetectorFactory.newResourceLeakDetector(196) | Loaded default ResourceLeakDetector: io.netty.util.ResourceLeakDetector@dbd8e44
[DEBUG] [2023-08-22 18:38:21] PlatformDependent$Mpsc.<clinit>(971) | org.jctools-core.MpscChunkedArrayQueue: available
[DEBUG] [2023-08-22 18:38:21] InternalThreadLocalMap.<clinit>(86) | -Dio.netty.threadLocalMap.stringBuilder.initialSize: 1024
[DEBUG] [2023-08-22 18:38:21] InternalThreadLocalMap.<clinit>(89) | -Dio.netty.threadLocalMap.stringBuilder.maxSize: 4096
[INFO] [2023-08-22 18:38:21] ConnectionManager.<init>(88) |  all connections, size: 4, list: [ConnectionInfo{host='127.0.0.1', port=20200}, ConnectionInfo{host='127.0.0.1', port=20201}, ConnectionInfo{host='127.0.0.1', port=20202}, ConnectionInfo{host='127.0.0.1', port=20203}]
[INFO] [2023-08-22 18:38:21] NetworkImp.start(167) | 
* TRACE INFORMATION:
----------------------------
====> STEP1: try to connect nodes with ecdsa context...

[INFO] [2023-08-22 18:38:21] NetworkImp.start(174) | ====> <==== STEP1-1: Load certificates for ecdsa context success..., start connManager with ECDSA sslContext
[DEBUG] [2023-08-22 18:38:21] ConnectionManager.startConnect(99) |  start connect. 
[DEBUG] [2023-08-22 18:38:21] MultithreadEventLoopGroup.<clinit>(44) | -Dio.netty.eventLoopThreads: 32
[DEBUG] [2023-08-22 18:38:21] NioEventLoop.<clinit>(109) | -Dio.netty.noKeySetOptimization: false
[DEBUG] [2023-08-22 18:38:21] NioEventLoop.<clinit>(110) | -Dio.netty.selectorAutoRebuildThreshold: 512
[INFO] [2023-08-22 18:38:21] ConnectionManager.initSslContext(238) |  build ECDSA ssl context with configured certificates 
[DEBUG] [2023-08-22 18:38:21] AbstractByteBuf.<clinit>(63) | -Dio.netty.buffer.checkAccessible: true
[DEBUG] [2023-08-22 18:38:21] AbstractByteBuf.<clinit>(64) | -Dio.netty.buffer.checkBounds: true
[DEBUG] [2023-08-22 18:38:21] ResourceLeakDetectorFactory$DefaultResourceLeakDetectorFactory.newResourceLeakDetector(196) | Loaded default ResourceLeakDetector: io.netty.util.ResourceLeakDetector@6fefce9e
[DEBUG] [2023-08-22 18:38:21] PooledByteBufAllocator.<clinit>(157) | -Dio.netty.allocator.numHeapArenas: 21
[DEBUG] [2023-08-22 18:38:21] PooledByteBufAllocator.<clinit>(158) | -Dio.netty.allocator.numDirectArenas: 21
[DEBUG] [2023-08-22 18:38:21] PooledByteBufAllocator.<clinit>(160) | -Dio.netty.allocator.pageSize: 8192
[DEBUG] [2023-08-22 18:38:21] PooledByteBufAllocator.<clinit>(165) | -Dio.netty.allocator.maxOrder: 9
[DEBUG] [2023-08-22 18:38:21] PooledByteBufAllocator.<clinit>(169) | -Dio.netty.allocator.chunkSize: 4194304
[DEBUG] [2023-08-22 18:38:21] PooledByteBufAllocator.<clinit>(170) | -Dio.netty.allocator.smallCacheSize: 256
[DEBUG] [2023-08-22 18:38:21] PooledByteBufAllocator.<clinit>(171) | -Dio.netty.allocator.normalCacheSize: 64
[DEBUG] [2023-08-22 18:38:21] PooledByteBufAllocator.<clinit>(172) | -Dio.netty.allocator.maxCachedBufferCapacity: 32768
[DEBUG] [2023-08-22 18:38:21] PooledByteBufAllocator.<clinit>(173) | -Dio.netty.allocator.cacheTrimInterval: 8192
[DEBUG] [2023-08-22 18:38:21] PooledByteBufAllocator.<clinit>(174) | -Dio.netty.allocator.cacheTrimIntervalMillis: 0
[DEBUG] [2023-08-22 18:38:21] PooledByteBufAllocator.<clinit>(175) | -Dio.netty.allocator.useCacheForAllThreads: false
[DEBUG] [2023-08-22 18:38:21] PooledByteBufAllocator.<clinit>(176) | -Dio.netty.allocator.maxCachedByteBuffersPerChunk: 1023
[DEBUG] [2023-08-22 18:38:21] ByteBufUtil.<clinit>(87) | -Dio.netty.allocator.type: pooled
[DEBUG] [2023-08-22 18:38:21] ByteBufUtil.<clinit>(96) | -Dio.netty.threadLocalDirectBufferSize: 0
[DEBUG] [2023-08-22 18:38:21] ByteBufUtil.<clinit>(99) | -Dio.netty.maxThreadLocalCharBufferSize: 16384
[DEBUG] [2023-08-22 18:38:21] NativeLibraryLoader.<clinit>(78) | -Dio.netty.native.workdir: /tmp (io.netty.tmpdir)
[DEBUG] [2023-08-22 18:38:21] NativeLibraryLoader.<clinit>(83) | -Dio.netty.native.deleteLibAfterLoading: true
[DEBUG] [2023-08-22 18:38:21] NativeLibraryLoader.<clinit>(87) | -Dio.netty.native.tryPatchShadedId: true
[DEBUG] [2023-08-22 18:38:21] NativeLibraryLoader.<clinit>(91) | -Dio.netty.native.detectNativeLibraryDuplicates: true
[DEBUG] [2023-08-22 18:38:21] NativeLibraryLoader.loadLibrary(384) | Successfully loaded the library /tmp/libnetty_tcnative_linux_x86_6413072507126476560524.so
[DEBUG] [2023-08-22 18:38:21] NativeLibraryLoader.loadFirstAvailable(106) | Loaded library with name 'netty_tcnative_linux_x86_64'
[DEBUG] [2023-08-22 18:38:21] OpenSsl.<clinit>(159) | Initialize netty-tcnative using engine: 'default'
[DEBUG] [2023-08-22 18:38:21] OpenSsl.<clinit>(184) | netty-tcnative using native library: OpenSSL/TaSSL 1.0.2o  27 Mar 2018
[DEBUG] [2023-08-22 18:38:21] ResourceLeakDetectorFactory$DefaultResourceLeakDetectorFactory.newResourceLeakDetector(196) | Loaded default ResourceLeakDetector: io.netty.util.ResourceLeakDetector@622ef26a
[DEBUG] [2023-08-22 18:38:21] Recycler.<clinit>(85) | -Dio.netty.recycler.maxCapacityPerThread: 4096
[DEBUG] [2023-08-22 18:38:21] Recycler.<clinit>(86) | -Dio.netty.recycler.ratio: 8
[DEBUG] [2023-08-22 18:38:21] Recycler.<clinit>(87) | -Dio.netty.recycler.chunkSize: 32
[DEBUG] [2023-08-22 18:38:21] Recycler.<clinit>(88) | -Dio.netty.recycler.blocking: false
[DEBUG] [2023-08-22 18:38:21] CipherSuiteConverter.cacheFromOpenSsl(332) | Cipher suite mapping: TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384 => ECDHE-RSA-AES256-GCM-SHA384
[DEBUG] [2023-08-22 18:38:21] CipherSuiteConverter.cacheFromOpenSsl(333) | Cipher suite mapping: SSL_ECDHE_RSA_WITH_AES_256_GCM_SHA384 => ECDHE-RSA-AES256-GCM-SHA384
